n,caso,k,p,analitico,simulado,erro_abs
6,k=n,6,0.8,0.2621440000000001,0.259,0.003144000000000091
7,k=1,1,0.8,0.9999872,1.0,1.2800000000035006e-05
7,k=ceil(n/2),4,0.8,0.9666560000000001,0.9676,0.0009439999999999449
7,k=n,7,0.8,0.20971520000000007,0.20972,4.799999999915983e-06
8,k=1,1,0.8,0.9999974399999999,1.0,2.560000000095819e-06
8,k=ceil(n/2),4,0.8,0.9895936,0.99004,0.00044640000000006896
8,k=n,8,0.8,0.1677721600000001,0.17016,0.002387839999999919
9,k=1,1,0.8,0.999999488,1.0,5.119999999525504e-07
9,k=ceil(n/2),5,0.8,0.9804185599999999,0.9801,0.00031855999999996776
9,k=n,9,0.8,0.13421772800000006,0.13344,0.0007777280000000608
10,k=1,1,0.8,0.9999998976000001,1.0,1.023999999238967e-07
10,k=ceil(n/2),5,0.8,0.9936306176,0.99336,0.00027061760000002266
10,k=n,10,0.8,0.10737418240000006,0.10804,0.0006658175999999377
11,k=1,1,0.8,0.99999997952,1.0,2.048000002918826e-08
11,k=ceil(n/2),6,0.8,0.98834579456,0.98834,5.794560000049742e-06
11,k=n,11,0.8,0.08589934592000005,0.08464,0.0012593459200000434
12,k=1,1,0.8,0.999999995904,1.0,4.095999983633192e-09
12,k=ceil(n/2),6,0.8,0.996096868352,0.99612,2.3131648000052074e-05
12,k=n,12,0.8,0.06871947673600004,0.06742,0.0012994767360000464
13,k=1,1,0.8,0.9999999991807998,1.0,8.192001521578618e-10
13,k=ceil(n/2),7,0.8,0.9929964388351998,0.99306,6.356116480021878e-05
13,k=n,13,0.8,0.054975581388800036,0.05504,6.441861119996228e-05
14,k=1,1,0.8,0.99999999983616,1.0,1.6384005263603285e-10
14,k=ceil(n/2),7,0.8,0.9976027912601599,0.99738,0.0002227912601598936
14,k=n,14,0.8,0.043980465111040035,0.0437,0.0002804651110400319
15,k=1,1,0.8,0.999999999967232,1.0,3.276801052720657e-11
15,k=ceil(n/2),8,0.8,0.995760250290176,0.99584,7.97497098239397e-05
15,k=n,15,0.8,0.03518437208883203,0.03378,0.001404372088832033
16,k=1,1,0.8,0.9999999999934465,1.0,6.5535354920598365e-12
16,k=ceil(n/2),8,0.8,0.998524061745152,0.99846,6.40617451519443e-05
16,k=n,16,0.8,0.028147497671065624,0.02912,0.0009725023289343764
17,k=1,1,0.8,0.9999999999986894,1.0,1.3106182805699973e-12
17,k=ceil(n/2),9,0.8,0.9974185371631615,0.99744,2.146283683845951e-05
17,k=n,17,0.8,0.022517998136852502,0.02248,3.7998136852502445e-05
18,k=1,1,0.8,0.9999999999997381,1.0,2.6190161150907443e-13
18,k=ceil(n/2),9,0.8,0.9990891076426139,0.9989,0.0001891076426139282
18,k=n,18,0.8,0.018014398509482003,0.01802,5.6014905179986585e-06
19,k=1,1,0.8,0.9999999999999476,1.0,5.240252676230739e-14
19,k=ceil(n/2),10,0.8,0.9984208794508329,0.9986,0.00017912054916713327
19,k=n,19,0.8,0.014411518807585602,0.01476,0.0003484811924143981
20,k=1,1,0.8,0.9999999999999895,1.0,1.0547118733938987e-14
20,k=ceil(n/2),10,0.8,0.9994365863023398,0.99948,4.3413697660255046e-05
20,k=n,20,0.8,0.011529215046068483,0.01094,0.0005892150460684829
1,k=1,1,0.9,0.9,0.89996,4.0000000000040004e-05
1,k=ceil(n/2),1,0.9,0.9,0.8996,0.00040000000000006697
1,k=n,1,0.9,0.9,0.89966,0.00034000000000000696
2,k=1,1,0.9,0.99,0.98968,0.00031999999999998696
2,k=ceil(n/2),1,0.9,0.99,0.99006,6.0000000000060005e-05
2,k=n,2,0.9,0.81,0.81274,0.0027399999999999647
3,k=1,1,0.9,0.9990000000000001,0.99908,7.999999999985796e-05
3,k=ceil(n/2),2,0.9,0.9720000000000001,0.97056,0.0014400000000001079
3,k=n,3,0.9,0.7290000000000001,0.73186,0.0028599999999998627
4,k=1,1,0.9,0.9999,0.99996,5.999999999994898e-05
4,k=ceil(n/2),2,0.9,0.9963,0.99632,2.0000000000020002e-05
4,k=n,4,0.9,0.6561,0.65586,0.00024000000000001798
5,k=1,1,0.9,0.9999899999999999,0.99998,9.99999999995449e-06
5,k=ceil(n/2),3,0.9,0.9914399999999999,0.99174,0.000300000000000078
5,k=n,5,0.9,0.5904900000000001,0.5917,0.0012099999999999334
6,k=1,1,0.9,0.999999,1.0,1.0000000000287557e-06
6,k=ceil(n/2),3,0.9,0.99873,0.99866,7.00000000000145e-05
6,k=n,6,0.9,0.531441,0.53352,0.002078999999999942
7,k=1,1,0.9,0.9999998999999999,1.0,1.0000000005838672e-07
7,k=ceil(n/2),4,0.9,0.9972719999999999,0.99744,0.000168000000000057
7,k=n,7,0.9,0.4782969000000001,0.48056,0.002263099999999907
8,k=1,1,0.9,0.99999999,1.0,1.0000000050247593e-08
8,k=ceil(n/2),4,0.9,0.99956835,0.99954,2.835000000001031e-05
8,k=n,8,0.9,0.4304672100000001,0.42746,0.0030072100000000934
9,k=1,1,0.9,0.9999999990000001,1.0,9.99999860695766e-10
9,k=ceil(n/2),5,0.9,0.99910908,0.99916,5.092000000006536e-05
